,Player,Season,GP,W,Sv%,GAA,Age
114,Anders Nilsson,20182019,36,14,0.908,2.97,28
115,Anders Nilsson,20192020,20,9,0.908,3.18,29
116,Andre Binette,19541955,1,1,,4.0,21
117,Andre Gill,19671968,5,3,0.903,2.89,26
118,Andre Racicot,19891990,1,0,0.5,14.21,20
119,Andre Racicot,19901991,21,7,0.891,3.2,21
120,Andre Racicot,19911992,9,0,0.895,3.16,22
121,Andre Racicot,19921993,26,17,0.881,3.39,23
122,Andre Racicot,19931994,11,2,0.85,4.44,24
123,Andrei Trefilov,19921993,1,0,0.872,4.62,23
124,Andrei Trefilov,19931994,11,3,0.915,2.51,24
125,Andrei Trefilov,19941995,6,0,0.877,4.07,25
126,Andrei Trefilov,19951996,22,8,0.903,3.51,26
127,Andrei Trefilov,19961997,3,0,0.898,3.78,27
128,Andrei Trefilov,19971998,6,1,0.883,3.41,28
129,Andrei Trefilov,19981999,5,0,0.856,4.83,29
130,Andrei Vasilevskiy,20142015,16,7,0.918,2.36,20
131,Andrei Vasilevskiy,20152016,24,11,0.91,2.76,21
132,Andrei Vasilevskiy,20162017,50,23,0.917,2.61,22
133,Andrei Vasilevskiy,20172018,65,44,0.92,2.62,23
134,Andrei Vasilevskiy,20182019,53,39,0.925,2.4,24
135,Andrei Vasilevskiy,20192020,52,35,0.917,2.56,25
136,Andrei Vasilevskiy,20202021,42,31,0.925,2.21,26
137,Andrew Hammond,20132014,1,0,1.0,0.0,25
138,Andrew Hammond,20142015,24,20,0.941,1.79,26
139,Andrew Hammond,20152016,24,7,0.914,2.65,27
140,Andrew Hammond,20162017,6,0,0.837,4.08,28
141,Andrew Hammond,20172018,1,0,0.939,2.06,29
142,Andrew Raycroft,20002001,15,4,0.89,2.96,20
143,Andrew Raycroft,20012002,1,0,0.897,2.77,21
144,Andrew Raycroft,20022003,5,2,0.918,2.4,22
145,Andrew Raycroft,20032004,57,29,0.926,2.05,23
146,Andrew Raycroft,20052006,30,8,0.879,3.71,25
147,Andrew Raycroft,20062007,72,37,0.894,2.99,26
148,Andrew Raycroft,20072008,19,2,0.876,3.92,27
149,Andrew Raycroft,20082009,31,12,0.892,3.14,28
150,Andrew Raycroft,20092010,21,9,0.911,2.42,29
151,Andrew Raycroft,20102011,19,8,0.91,2.83,30
152,Andrew Raycroft,20112012,10,2,0.898,3.51,31
153,Andrey Makarov,20142015,1,0,0.917,3.0,21
154,Andy Brown,19711972,10,4,0.884,3.98,27
155,Andy Brown,19721973,16,5,0.871,4.27,28
156,Andy Brown,19731974,36,13,0.881,3.54,29
157,Andy Chiodo,20032004,8,3,0.892,3.46,20
158,Andy Moog,19801981,7,3,0.882,3.82,20
159,Andy Moog,19811982,8,3,0.841,4.82,21
160,Andy Moog,19821983,50,33,0.891,3.54,22
161,Andy Moog,19831984,38,27,0.882,3.78,23
