,Player,Season,GP,W,Sv%,GAA,Age
1032,Dominic Roussel,19951996,16,4,0.878,3.07,25
1033,Dominic Roussel,19981999,18,4,0.923,2.51,28
1034,Dominic Roussel,19992000,20,6,0.883,3.16,29
1035,Dominic Roussel,20002001,21,3,0.883,3.12,30
1036,Dominik Hasek,19901991,5,3,0.914,2.46,25
1037,Dominik Hasek,19911992,20,10,0.893,2.6,26
1038,Dominik Hasek,19921993,28,11,0.896,3.15,27
1039,Dominik Hasek,19931994,58,30,0.93,1.95,28
1040,Dominik Hasek,19941995,41,19,0.93,2.11,29
1041,Dominik Hasek,19951996,59,22,0.92,2.83,30
1042,Dominik Hasek,19961997,67,37,0.93,2.27,31
1043,Dominik Hasek,19971998,72,33,0.932,2.09,32
1044,Dominik Hasek,19981999,64,30,0.937,1.87,33
1045,Dominik Hasek,19992000,35,15,0.919,2.21,34
1046,Dominik Hasek,20002001,67,37,0.921,2.11,35
1047,Dominik Hasek,20012002,65,41,0.915,2.17,36
1048,Dominik Hasek,20032004,14,8,0.907,2.2,38
1049,Dominik Hasek,20052006,43,28,0.925,2.09,40
1050,Dominik Hasek,20062007,56,38,0.913,2.05,41
1051,Dominik Hasek,20072008,41,27,0.902,2.14,42
1052,Don Aiken,19571958,1,0,0.667,10.67,25
1053,Don Beaupre,19801981,44,18,0.895,3.21,19
1054,Don Beaupre,19811982,28,11,0.889,3.71,20
1055,Don Beaupre,19821983,36,19,0.885,3.58,21
1056,Don Beaupre,19831984,33,16,0.873,4.15,22
1057,Don Beaupre,19841985,31,10,0.884,3.7,23
1058,Don Beaupre,19851986,52,25,0.892,3.57,24
1059,Don Beaupre,19861987,47,17,0.879,4.0,25
1060,Don Beaupre,19871988,43,10,0.872,4.23,26
1061,Don Beaupre,19881989,12,5,0.894,2.92,27
1062,Don Beaupre,19891990,48,23,0.89,3.22,28
1063,Don Beaupre,19901991,45,20,0.897,2.64,29
1064,Don Beaupre,19911992,54,29,0.884,3.2,30
1065,Don Beaupre,19921993,58,27,0.882,3.31,31
1066,Don Beaupre,19931994,53,24,0.88,2.84,32
1067,Don Beaupre,19941995,38,8,0.896,3.36,33
1068,Don Beaupre,19951996,41,6,0.872,3.87,34
1069,Don Beaupre,19961997,3,0,0.833,5.46,35
1070,Don Caley,19671968,1,0,0.864,6.0,22
1071,Don Edwards,19761977,25,16,0.899,2.52,21
1072,Don Edwards,19771978,72,38,0.906,2.64,22
1073,Don Edwards,19781979,54,26,0.899,3.02,23
1074,Don Edwards,19791980,49,27,0.893,2.57,24
1075,Don Edwards,19801981,45,23,0.898,2.96,25
1076,Don Edwards,19811982,62,26,0.882,3.52,26
1077,Don Edwards,19821983,39,16,0.882,4.02,27
1078,Don Edwards,19831984,41,13,0.871,4.1,28
1079,Don Edwards,19841985,34,11,0.866,4.09,29
1080,Don Edwards,19851986,38,12,0.86,4.76,30
1081,Don Head,19611962,38,9,0.879,4.16,28
1082,Don Keenan,19581959,1,0,0.902,4.0,20
1083,Don McLeod,19701971,14,3,0.852,5.17,24
1084,Don McLeod,19711972,4,0,0.872,4.65,25
1085,Don Simmons,19561957,26,13,0.915,2.42,25
1086,Don Simmons,19571958,39,15,0.919,2.42,26
1087,Don Simmons,19581959,58,24,0.897,3.16,27
1088,Don Simmons,19591960,28,12,0.9,3.26,28
1089,Don Simmons,19601961,18,3,0.902,3.23,29
1090,Don Simmons,19611962,9,5,0.927,2.33,30
1091,Don Simmons,19621963,28,15,0.904,2.47,31
1092,Don Simmons,19631964,21,9,0.894,3.18,32
1093,Don Simmons,19651966,12,1,0.867,4.36,34
1094,Don Simmons,19671968,5,2,0.898,2.61,36
1095,Don Simmons,19681969,5,1,0.921,2.34,37
1096,Don Sylvestri,19841985,3,0,0.885,3.53,23
1097,Donald Cutts,19791980,6,1,0.887,3.57,26
1098,Doug Dadswell,19861987,2,0,0.861,4.81,22
1099,Doug Dadswell,19871988,25,8,0.858,4.38,23
1100,Doug Favell,19671968,37,16,0.931,2.27,22
1101,Doug Favell,19681969,21,3,0.903,3.58,23
1102,Doug Favell,19691970,15,4,0.917,3.15,24
1103,Doug Favell,19701971,44,16,0.915,2.67,25
1104,Doug Favell,19711972,54,18,0.915,2.81,26
1105,Doug Favell,19721973,44,20,0.916,2.83,27
1106,Doug Favell,19731974,32,14,0.909,2.71,28
1107,Doug Favell,19741975,39,12,0.878,4.06,29
1108,Doug Favell,19751976,3,0,0.786,5.63,30
1109,Doug Favell,19761977,30,8,0.895,3.91,31
1110,Doug Favell,19771978,47,13,0.888,3.59,32
1111,Doug Favell,19781979,7,0,0.816,5.38,33
1112,Doug Grant,19731974,37,15,0.87,4.16,25
1113,Doug Grant,19741975,7,1,0.829,5.37,26
1114,Doug Grant,19751976,2,1,0.822,4.02,27
1115,Doug Grant,19761977,17,7,0.877,3.13,28
1116,Doug Grant,19771978,9,3,0.896,2.89,29
1117,Doug Grant,19781979,4,0,0.811,7.28,30
1118,Doug Grant,19791980,1,0,0.923,1.95,31
1119,Doug Keans,19791980,10,3,0.907,2.48,21
1120,Doug Keans,19801981,9,2,0.837,4.89,22
1121,Doug Keans,19811982,31,8,0.864,4.32,23
1122,Doug Keans,19821983,6,0,0.826,4.73,24
1123,Doug Keans,19831984,33,19,0.883,3.11,25
1124,Doug Keans,19841985,25,16,0.877,3.29,26
1125,Doug Keans,19851986,30,14,0.863,3.66,27
1126,Doug Keans,19861987,36,18,0.881,3.34,28
1127,Doug Keans,19871988,30,16,0.88,3.26,29
1128,Doug Soetaert,19751976,8,2,0.856,5.29,20
1129,Doug Soetaert,19761977,12,3,0.904,2.95,21
1130,Doug Soetaert,19771978,6,2,0.9,3.34,22
1131,Doug Soetaert,19781979,17,5,0.869,3.81,23
1132,Doug Soetaert,19791980,8,5,0.846,4.57,24
1133,Doug Soetaert,19801981,39,16,0.854,3.94,25
1134,Doug Soetaert,19811982,39,13,0.87,4.32,26
1135,Doug Soetaert,19821983,44,19,0.869,4.12,27
1136,Doug Soetaert,19831984,47,18,0.869,4.29,28
1137,Doug Soetaert,19841985,28,14,0.853,3.41,29
1138,Doug Soetaert,19851986,23,11,0.895,2.77,30
1139,Doug Soetaert,19861987,13,2,0.842,5.17,31
1140,Drew MacIntyre,20072008,2,0,0.864,2.95,24
1141,Drew MacIntyre,20112012,2,0,0.944,1.38,28
1142,Drew MacIntyre,20132014,2,0,0.922,2.54,30
1143,Dunc Wilson,19691970,1,0,0.885,3.02,21
1144,Dunc Wilson,19701971,35,3,0.881,4.3,22
1145,Dunc Wilson,19711972,53,16,0.887,3.62,23
1146,Dunc Wilson,19721973,43,13,0.88,3.94,24
1147,Dunc Wilson,19731974,24,9,0.897,2.91,25
1148,Dunc Wilson,19741975,28,9,0.878,3.78,26
1149,Dunc Wilson,19751976,20,5,0.862,4.24,27
1150,Dunc Wilson,19761977,45,18,0.906,2.95,28
1151,Dunc Wilson,19771978,21,5,0.842,4.84,29
1152,Dunc Wilson,19781979,17,2,0.876,4.17,30
1153,Dustin Tokarski,20092010,2,0,0.813,4.06,20
1154,Dustin Tokarski,20112012,5,1,0.879,3.45,22
1155,Dustin Tokarski,20132014,3,2,0.946,1.84,24
1156,Dustin Tokarski,20142015,17,6,0.91,2.75,25
1157,Dustin Tokarski,20152016,6,1,0.878,3.18,26
1158,Dustin Tokarski,20162017,1,0,1.0,0.0,27
1159,Dustin Tokarski,20202021,13,2,0.904,3.54,31
1160,Dwayne Roloson,19961997,31,9,0.897,2.89,27
1161,Dwayne Roloson,19971998,39,11,0.89,2.99,28
1162,Dwayne Roloson,19981999,18,6,0.909,2.77,29
1163,Dwayne Roloson,19992000,14,1,0.884,2.84,30
1164,Dwayne Roloson,20012002,45,14,0.901,2.68,32
1165,Dwayne Roloson,20022003,50,23,0.927,2.0,33
1166,Dwayne Roloson,20032004,48,19,0.933,1.88,34
1167,Dwayne Roloson,20052006,43,14,0.908,2.73,36
1168,Dwayne Roloson,20062007,68,27,0.909,2.75,37
1169,Dwayne Roloson,20072008,43,15,0.901,3.05,38
1170,Dwayne Roloson,20082009,63,28,0.915,2.77,39
1171,Dwayne Roloson,20092010,50,23,0.907,3.0,40
1172,Dwayne Roloson,20102011,54,24,0.914,2.59,41
1173,Dwayne Roloson,20112012,40,13,0.886,3.66,42
1174,Dylan Ferguson,20172018,1,0,0.5,6.5,19
1175,Ed Belfour,19881989,23,4,0.877,3.87,23
1176,Ed Belfour,19901991,74,43,0.91,2.47,25
1177,Ed Belfour,19911992,52,21,0.894,2.71,26
1178,Ed Belfour,19921993,71,41,0.906,2.59,27
1179,Ed Belfour,19931994,70,37,0.906,2.67,28
1180,Ed Belfour,19941995,42,22,0.906,2.28,29
1181,Ed Belfour,19951996,50,22,0.902,2.74,30
1182,Ed Belfour,19961997,46,14,0.901,2.89,31
1183,Ed Belfour,19971998,61,37,0.916,1.88,32
1184,Ed Belfour,19981999,61,35,0.915,1.99,33
1185,Ed Belfour,19992000,62,32,0.919,2.1,34
1186,Ed Belfour,20002001,63,35,0.905,2.34,35
1187,Ed Belfour,20012002,60,21,0.895,2.65,36
1188,Ed Belfour,20022003,62,37,0.922,2.26,37
1189,Ed Belfour,20032004,59,34,0.918,2.13,38
1190,Ed Belfour,20052006,49,22,0.892,3.29,40
1191,Ed Belfour,20062007,58,27,0.902,2.77,41
1192,Ed Chadwick,19551956,5,2,0.976,0.6,22
1193,Ed Chadwick,19561957,70,21,0.905,2.66,23
1194,Ed Chadwick,19571958,70,21,0.894,3.19,24
1195,Ed Chadwick,19581959,31,12,0.905,2.97,25
1196,Ed Chadwick,19591960,4,1,0.889,3.75,26
1197,Ed Chadwick,19611962,4,0,0.852,5.5,28
1198,Ed Dyck,19711972,12,1,0.883,3.67,21
1199,Ed Dyck,19721973,25,5,0.854,4.54,22
1200,Ed Dyck,19731974,12,2,0.845,4.64,23
1201,Ed Giacomin,19651966,36,8,0.886,3.69,26
1202,Ed Giacomin,19661967,68,30,0.917,2.61,27
1203,Ed Giacomin,19671968,66,36,0.915,2.44,28
1204,Ed Giacomin,19681969,70,38,0.911,2.56,29
1205,Ed Giacomin,19691970,70,35,0.916,2.36,30
1206,Ed Giacomin,19701971,45,27,0.922,2.16,31
1207,Ed Giacomin,19711972,44,24,0.901,2.71,32
1208,Ed Giacomin,19721973,43,26,0.898,2.91,33
1209,Ed Giacomin,19731974,56,30,0.89,3.07,34
1210,Ed Giacomin,19741975,37,13,0.87,3.49,35
1211,Ed Giacomin,19751976,33,12,0.882,3.61,36
1212,Ed Giacomin,19761977,33,8,0.872,3.59,37
1213,Ed Giacomin,19771978,9,3,0.893,3.14,38
1214,Ed Staniowski,19751976,11,5,0.902,3.2,20
1215,Ed Staniowski,19761977,29,10,0.866,4.09,21
1216,Ed Staniowski,19771978,17,1,0.856,3.87,22
1217,Ed Staniowski,19781979,39,9,0.875,3.83,23
1218,Ed Staniowski,19791980,22,2,0.861,4.34,24
1219,Ed Staniowski,19801981,19,10,0.871,4.28,25
1220,Ed Staniowski,19811982,45,20,0.876,3.96,26
1221,Ed Staniowski,19821983,17,4,0.843,4.73,27
1222,Ed Staniowski,19831984,19,6,0.859,4.56,28
1223,Ed Staniowski,19841985,1,0,0.9,3.0,29
1224,Eddie Johnston,19621963,50,11,0.893,3.98,27
1225,Eddie Johnston,19631964,70,18,0.914,3.01,28
1226,Eddie Johnston,19641965,47,11,0.899,3.47,29
1227,Eddie Johnston,19651966,33,9,0.895,3.72,30
1228,Eddie Johnston,19661967,34,8,0.88,3.71,31
1229,Eddie Johnston,19671968,28,13,0.897,2.88,32
1230,Eddie Johnston,19681969,24,15,0.898,3.09,33
1231,Eddie Johnston,19691970,37,16,0.906,2.98,34
1232,Eddie Johnston,19701971,38,30,0.914,2.53,35
1233,Eddie Johnston,19711972,38,27,0.899,2.71,36
1234,Eddie Johnston,19721973,45,24,0.886,3.28,37
1235,Eddie Johnston,19731974,26,12,0.894,3.09,38
1236,Eddie Johnston,19741975,30,12,0.895,3.1,39
1237,Eddie Johnston,19751976,38,11,0.873,3.63,40
1238,Eddie Johnston,19761977,38,13,0.883,3.07,41
1239,Eddie Johnston,19771978,16,6,0.85,4.18,42
1240,Eddie Lack,20132014,41,16,0.912,2.41,25
1241,Eddie Lack,20142015,41,18,0.921,2.45,26
1242,Eddie Lack,20152016,34,12,0.901,2.81,27
1243,Eddie Lack,20162017,20,8,0.902,2.64,28
1244,Eddie Lack,20172018,8,2,0.87,4.02,29
1245,Eddie Mio,19791980,34,9,0.868,4.22,25
1246,Eddie Mio,19801981,43,16,0.867,3.9,26
1247,Eddie Mio,19811982,25,13,0.885,3.56,27
1248,Eddie Mio,19821983,41,16,0.882,3.46,28
1249,Eddie Mio,19831984,24,7,0.859,4.42,29
1250,Eddie Mio,19841985,7,1,0.843,4.32,30
1251,Eddie Mio,19851986,18,2,0.816,6.33,31
1252,Edward Pasquale,20182019,3,2,0.882,3.96,28
1253,Eldon Reddick,19861987,48,21,0.881,3.24,22
1254,Eldon Reddick,19871988,28,9,0.857,4.11,23
1255,Eldon Reddick,19881989,41,11,0.872,4.1,24
1256,Eldon Reddick,19891990,11,5,0.89,3.08,25
1257,Eldon Reddick,19901991,2,0,0.847,4.5,26
1258,Eldon Reddick,19931994,2,0,0.822,6.0,29
1259,Elvis Merzlikins,20192020,33,13,0.923,2.35,25
1260,Elvis Merzlikins,20202021,28,8,0.916,2.77,26
1261,Emile Francis,19501951,5,1,,3.23,24
1262,Emile Francis,19511952,14,4,,2.93,25
1263,Eric Comrie,20162017,1,1,0.897,4.05,21
1264,Eric Comrie,20172018,3,1,0.872,3.99,22
1265,Eric Comrie,20182019,1,0,0.821,5.01,23
1266,Eric Comrie,20192020,3,0,0.864,4.28,24
1267,Eric Comrie,20202021,1,1,0.909,3.0,25
1268,Eric Fichaud,19951996,24,7,0.897,3.31,20
1269,Eric Fichaud,19961997,34,9,0.899,3.1,21
1270,Eric Fichaud,19971998,17,3,0.905,2.97,22
1271,Eric Fichaud,19981999,9,0,0.895,3.22,23
1272,Eric Fichaud,19992000,9,3,0.883,2.94,24
1273,Eric Fichaud,20002001,2,0,0.875,3.89,25
1274,Erik Ersberg,20072008,14,6,0.927,2.48,25
1275,Erik Ersberg,20082009,28,8,0.9,2.64,26
1276,Erik Ersberg,20092010,11,4,0.906,2.4,27
1277,Ernie Wakely,19621963,1,1,0.897,3.0,22
1278,Ernie Wakely,19681969,1,0,0.852,4.0,28
1279,Ernie Wakely,19691970,30,12,0.93,2.11,29
1280,Ernie Wakely,19701971,51,20,0.902,2.79,30
1281,Ernie Wakely,19711972,30,8,0.894,3.4,31
1282,Evgeni Nabokov,19992000,11,2,0.91,2.17,24
1283,Evgeni Nabokov,20002001,66,32,0.915,2.19,25
1284,Evgeni Nabokov,20012002,67,37,0.918,2.29,26
1285,Evgeni Nabokov,20022003,55,19,0.906,2.71,27
1286,Evgeni Nabokov,20032004,59,31,0.921,2.21,28
1287,Evgeni Nabokov,20052006,45,16,0.885,3.1,30
1288,Evgeni Nabokov,20062007,50,25,0.914,2.29,31
1289,Evgeni Nabokov,20072008,77,46,0.91,2.14,32
1290,Evgeni Nabokov,20082009,62,41,0.91,2.44,33
1291,Evgeni Nabokov,20092010,71,44,0.922,2.43,34
1292,Evgeni Nabokov,20112012,42,19,0.914,2.55,36
1293,Evgeni Nabokov,20122013,41,23,0.91,2.5,37
1294,Evgeni Nabokov,20132014,40,15,0.905,2.74,38
1295,Evgeni Nabokov,20142015,11,3,0.882,3.14,39
1296,Evgeny Konstantinov,20002001,1,0,,0.0,19
1297,Evgeny Konstantinov,20022003,1,0,0.833,3.0,21
1298,Felix Potvin,19911992,4,0,0.933,2.29,20
1299,Felix Potvin,19921993,48,25,0.91,2.5,21
1300,Felix Potvin,19931994,66,34,0.907,2.89,22
1301,Felix Potvin,19941995,36,15,0.907,2.91,23
1302,Felix Potvin,19951996,69,30,0.91,2.87,24
1303,Felix Potvin,19961997,74,27,0.908,3.15,25
1304,Felix Potvin,19971998,67,26,0.906,2.73,26
1305,Felix Potvin,19981999,16,5,0.885,3.71,27
1306,Felix Potvin,19992000,56,17,0.901,2.83,28
1307,Felix Potvin,20002001,58,27,0.9,2.62,29
1308,Felix Potvin,20012002,71,31,0.907,2.31,30
1309,Felix Potvin,20022003,42,17,0.894,2.66,31
1310,Felix Potvin,20032004,28,12,0.903,2.5,32
1311,Fern Rivard,19681969,13,0,0.859,4.44,22
1312,Fern Rivard,19691970,14,3,0.909,3.15,23
1313,Fern Rivard,19731974,13,3,0.869,4.28,27
1314,Fern Rivard,19741975,15,3,0.883,4.25,28
1315,Filip Gustavsson,20202021,9,5,0.933,2.16,22
1316,Frank Caprice,19821983,1,0,0.625,9.52,20
1317,Frank Caprice,19831984,19,8,0.882,3.4,21
1318,Frank Caprice,19841985,28,8,0.85,4.84,22
1319,Frank Caprice,19851986,7,0,0.819,5.46,23
1320,Frank Caprice,19861987,25,8,0.863,3.81,24
1321,Frank Caprice,19871988,22,7,0.861,4.19,25
1322,Frank Pietrangelo,19871988,21,9,0.866,3.99,23
1323,Frank Pietrangelo,19881989,15,5,0.89,4.03,24
1324,Frank Pietrangelo,19891990,21,8,0.867,4.33,25
1325,Frank Pietrangelo,19901991,25,10,0.88,3.94,26
1326,Frank Pietrangelo,19911992,10,5,0.888,3.61,27
1327,Frank Pietrangelo,19921993,30,4,0.858,4.85,28
1328,Frank Pietrangelo,19931994,19,5,0.875,3.6,29
1329,Fred Brathwaite,19931994,19,3,0.889,3.54,21
1330,Fred Brathwaite,19941995,14,2,0.863,4.0,22
1331,Fred Brathwaite,19951996,7,0,0.914,2.45,23
1332,Fred Brathwaite,19981999,28,11,0.915,2.45,26
1333,Fred Brathwaite,19992000,61,25,0.905,2.75,27
1334,Fred Brathwaite,20002001,49,15,0.91,2.32,28
1335,Fred Brathwaite,20012002,25,9,0.901,2.24,29
1336,Fred Brathwaite,20022003,30,12,0.883,2.75,30
1337,Fred Brathwaite,20032004,21,4,0.897,3.37,31
1338,Frederic Cassivi,20012002,6,2,0.918,3.32,26
1339,Frederic Cassivi,20022003,2,1,0.81,5.36,27
1340,Frederic Cassivi,20052006,1,0,0.867,4.09,30
1341,Frederic Cassivi,20062007,4,0,0.897,2.6,31
1342,Frederic Chabot,19901991,3,0,0.867,3.32,22
1343,Frederic Chabot,19921993,1,0,0.947,1.5,24
1344,Frederic Chabot,19931994,5,0,0.844,4.6,25
1345,Frederic Chabot,19971998,12,3,0.891,3.14,29
1346,Frederic Chabot,19981999,11,1,0.915,2.23,30
1347,Frederik Andersen,20132014,28,20,0.923,2.29,24
1348,Frederik Andersen,20142015,54,35,0.914,2.38,25
1349,Frederik Andersen,20152016,43,22,0.919,2.3,26
1350,Frederik Andersen,20162017,66,33,0.918,2.67,27
1351,Frederik Andersen,20172018,66,38,0.918,2.81,28
1352,Frederik Andersen,20182019,60,36,0.917,2.77,29
1353,Frederik Andersen,20192020,52,29,0.909,2.85,30
1354,Frederik Andersen,20202021,24,13,0.895,2.96,31
1355,Fredrik Norrena,20062007,55,24,0.904,2.78,33
1356,Fredrik Norrena,20072008,37,10,0.896,2.73,34
1357,Fredrik Norrena,20082009,8,1,0.872,3.16,35
1358,Garret Sparks,20152016,17,6,0.893,3.02,22
1359,Garret Sparks,20182019,20,8,0.902,3.15,25
1360,Garret Sparks,20192020,1,0,0.857,4.38,26
1361,Garth Snow,19931994,5,3,0.874,3.44,24
1362,Garth Snow,19941995,2,1,0.825,5.54,25
1363,Garth Snow,19951996,26,12,0.894,2.88,26
1364,Garth Snow,19961997,35,14,0.903,2.52,27
1365,Garth Snow,19971998,41,17,0.901,2.59,28
1366,Garth Snow,19981999,65,20,0.9,2.93,29
1367,Garth Snow,19992000,32,10,0.902,2.66,30
1368,Garth Snow,20002001,35,14,0.9,2.98,31
1369,Garth Snow,20012002,25,10,0.9,2.71,32
1370,Garth Snow,20022003,43,16,0.918,2.31,33
1371,Garth Snow,20032004,39,14,0.899,2.8,34
1372,Garth Snow,20052006,20,4,0.886,3.72,36
1373,Gary Bauman,19661967,2,1,0.912,2.5,26
1374,Gary Bauman,19671968,26,4,0.886,3.48,27
1375,Gary Bauman,19681969,7,0,0.867,4.41,28
1376,Gary Bromley,19731974,12,3,0.879,3.31,23
1377,Gary Bromley,19741975,50,26,0.873,3.1,24
1378,Gary Bromley,19751976,1,0,0.794,7.0,25
1379,Gary Bromley,19781979,38,11,0.873,3.81,28
1380,Gary Bromley,19791980,15,8,0.892,3.01,29
1381,Gary Bromley,19801981,20,6,0.867,3.81,30
1382,Gary Edwards,19681969,1,0,1.0,0.0,21
1383,Gary Edwards,19691970,1,0,0.871,4.0,22
1384,Gary Edwards,19711972,44,13,0.898,3.6,24
1385,Gary Edwards,19721973,27,9,0.877,3.62,25
1386,Gary Edwards,19731974,18,5,0.89,3.23,26
1387,Gary Edwards,19741975,27,15,0.916,2.35,27
1388,Gary Edwards,19751976,29,12,0.875,3.56,28
1389,Gary Edwards,19761977,27,4,0.868,4.29,29
1390,Gary Edwards,19771978,30,6,0.857,4.53,30
1391,Gary Edwards,19781979,25,6,0.867,3.74,31
1392,Gary Edwards,19791980,26,9,0.877,3.2,32
1393,Gary Edwards,19801981,15,5,0.865,3.63,33
1394,Gary Edwards,19811982,16,4,0.848,4.79,34
1395,Gary Inness,19731974,20,7,0.885,3.26,24
1396,Gary Inness,19741975,57,24,0.905,3.1,25
1397,Gary Inness,19751976,25,10,0.887,3.84,26
1398,Gary Inness,19761977,6,1,0.899,2.57,27
1399,Gary Inness,19781979,37,14,0.88,3.71,29
1400,Gary Inness,19791980,14,2,0.874,3.64,30
1401,Gary Inness,19801981,3,0,0.917,3.02,31
1402,Gary Kurt,19711972,16,1,0.856,4.3,24
1403,Gary Laskoski,19821983,46,15,0.857,4.56,23
1404,Gary Laskoski,19831984,13,4,0.828,4.98,24
1405,Gary Simmons,19741975,34,10,0.895,3.67,30
1406,Gary Simmons,19751976,40,15,0.889,3.34,31
1407,Gary Simmons,19761977,19,3,0.881,3.73,32
1408,Gary Simmons,19771978,14,2,0.869,3.83,33
1409,Gary Smith,19651966,3,0,0.899,3.57,21
1410,Gary Smith,19661967,2,0,0.892,3.66,22
1411,Gary Smith,19671968,21,2,0.907,3.19,23
1412,Gary Smith,19681969,54,21,0.905,2.96,24
1413,Gary Smith,19691970,65,19,0.913,3.12,25
1414,Gary Smith,19701971,71,19,0.885,3.86,26
1415,Gary Smith,19711972,28,14,0.911,2.42,27
1416,Gary Smith,19721973,23,10,0.887,3.54,28
1417,Gary Smith,19731974,65,20,0.894,3.45,29
1418,Gary Smith,19741975,72,32,0.895,3.09,30
1419,Gary Smith,19751976,51,20,0.882,3.51,31
1420,Gary Smith,19761977,36,10,0.881,4.0,32
1421,Gary Smith,19771978,20,2,0.873,3.99,33
1422,Gary Smith,19791980,20,4,0.873,4.09,35
1423,Geoff Sarjeant,19941995,4,1,0.885,3.0,25
1424,Geoff Sarjeant,19951996,4,0,0.839,4.92,26
1425,George Gardner,19651966,1,1,0.958,1.0,23
1426,George Gardner,19661967,11,3,0.885,3.86,24
1427,George Gardner,19671968,12,3,0.888,3.6,25
1428,George Gardner,19701971,18,6,0.911,3.39,28
1429,George Gardner,19711972,24,3,0.862,4.19,29
1430,George Maneluk,19901991,4,1,0.84,6.43,23
1431,Gerald Coleman,20052006,2,0,0.882,2.77,20
1432,Gerry Cheevers,19611962,2,1,0.914,3.0,21
1433,Gerry Cheevers,19651966,7,0,0.826,6.0,25
1434,Gerry Cheevers,19661967,22,5,0.898,3.33,26
1435,Gerry Cheevers,19671968,47,21,0.907,2.84,27
1436,Gerry Cheevers,19681969,52,27,0.911,2.8,28
1437,Gerry Cheevers,19691970,41,24,0.919,2.72,29
1438,Gerry Cheevers,19701971,40,27,0.918,2.73,30
1439,Gerry Cheevers,19711972,41,27,0.92,2.5,31
1440,Gerry Cheevers,19751976,15,8,0.9,2.74,35
1441,Gerry Cheevers,19761977,45,30,0.881,3.05,36
1442,Gerry Cheevers,19771978,21,10,0.889,2.66,37
1443,Gerry Cheevers,19781979,43,23,0.865,3.16,38
1444,Gerry Cheevers,19791980,42,24,0.88,2.81,39
1445,Gerry Desjardins,19681969,61,19,0.898,3.24,24
1446,Gerry Desjardins,19691970,47,11,0.892,3.73,25
1447,Gerry Desjardins,19701971,22,12,0.919,2.42,26
1448,Gerry Desjardins,19711972,6,1,0.885,3.51,27
1449,Gerry Desjardins,19721973,44,5,0.866,4.69,28
1450,Gerry Desjardins,19731974,36,9,0.902,3.12,29
1451,Gerry Desjardins,19741975,9,6,0.905,2.79,30
1452,Gerry Desjardins,19751976,55,29,0.89,2.95,31
1453,Gerry Desjardins,19761977,49,31,0.9,2.64,32
1454,Gerry Desjardins,19771978,3,0,0.781,3.79,33
1455,Gerry Gray,19701971,7,1,0.869,4.74,22
1456,Gerry Gray,19721973,1,0,0.853,5.0,24
1457,Gerry McNamara,19601961,5,2,0.918,2.42,26
1458,Gerry McNamara,19691970,2,0,0.833,5.15,35
1459,Gerry McNeil,19501951,70,25,,2.61,24
1460,Gerry McNeil,19511952,70,34,,2.34,25
1461,Gerry McNeil,19521953,66,25,,2.09,26
1462,Gerry McNeil,19531954,53,28,,2.13,27
1463,Gerry McNeil,19561957,9,4,0.877,3.46,30
1464,Gilles Boisvert,19591960,3,0,0.89,3.0,26
1465,Gilles Gilbert,19691970,1,0,0.846,6.0,20
1466,Gilles Gilbert,19701971,17,5,0.889,3.8,21
1467,Gilles Gilbert,19711972,4,1,0.892,3.04,22
1468,Gilles Gilbert,19721973,22,10,0.904,3.05,23
1469,Gilles Gilbert,19731974,54,34,0.901,2.96,24
1470,Gilles Gilbert,19741975,53,23,0.893,3.14,25
1471,Gilles Gilbert,19751976,55,33,0.888,2.9,26
1472,Gilles Gilbert,19761977,34,18,0.885,2.86,27
1473,Gilles Gilbert,19771978,25,15,0.885,2.54,28
1474,Gilles Gilbert,19781979,23,12,0.869,3.54,29
1475,Gilles Gilbert,19791980,33,20,0.891,2.73,30
1476,Gilles Gilbert,19801981,48,11,0.866,4.02,31
1477,Gilles Gilbert,19811982,27,6,0.848,4.27,32
1478,Gilles Gilbert,19821983,20,4,0.85,4.49,33
1479,Gilles Gratton,19751976,6,2,0.921,2.49,23
1480,Gilles Gratton,19761977,41,11,0.859,4.23,24
1481,Gilles Mayer,19531954,1,0,,3.0,23
1482,Gilles Mayer,19541955,1,1,,1.0,24
1483,Gilles Mayer,19551956,6,1,0.873,3.0,25
1484,Gilles Meloche,19701971,2,2,0.917,3.0,20
1485,Gilles Meloche,19711972,56,16,0.893,3.33,21
1486,Gilles Meloche,19721973,59,12,0.885,4.07,22
1487,Gilles Meloche,19731974,47,9,0.878,4.25,23
1488,Gilles Meloche,19741975,47,9,0.877,4.03,24
1489,Gilles Meloche,19751976,41,12,0.888,3.45,25
1490,Gilles Meloche,19761977,51,19,0.89,3.47,26
1491,Gilles Meloche,19771978,54,16,0.888,3.76,27
1492,Gilles Meloche,19781979,53,20,0.885,3.33,28
1493,Gilles Meloche,19791980,54,27,0.897,3.06,29
1494,Gilles Meloche,19801981,38,17,0.888,3.26,30
1495,Gilles Meloche,19811982,51,26,0.894,3.48,31
1496,Gilles Meloche,19821983,47,20,0.886,3.57,32
1497,Gilles Meloche,19831984,52,21,0.868,4.18,33
1498,Gilles Meloche,19841985,32,10,0.879,3.8,34
1499,Gilles Meloche,19851986,34,13,0.881,3.6,35
1500,Gilles Meloche,19861987,43,13,0.88,3.44,36
1501,Gilles Meloche,19871988,27,8,0.868,4.1,37
1502,Gilles Senn,20192020,2,0,0.902,3.42,23
1503,Gilles Villemure,19631964,5,0,0.899,3.6,23
