,Player,Season,Team,S/C,GP,GS,W,L,T,OT,SA,Svs,GA,Sv%,GAA,TOI,SO,G,A,P,PIM,Birth Year,S/P,Nationality,Draft Round,HOF,Age
2586,John Grahame,20072008,CAR,L,17,12,5,7,--,1,424,371,53,0.875,3.75,847:31,0,0,1,1,4,1975,CO,USA,9,N,32
1462,John Henderson,19541955,BOS,L,45,44,15,13,16,--,--,--,113,--,2.55,2658:17,5,0,0,0,0,1933,ON,CAN,--,N,21
3800,John Henderson,19551956,BOS,L,1,1,0,1,0,--,28,24,4,0.857,4.0,60:00,0,0,0,0,0,1933,ON,CAN,--,N,22
3638,John Tanner,19891990,QUE,L,1,1,0,1,0,--,30,27,3,0.9,3.03,59:30,0,0,0,0,0,1971,ON,CAN,3,N,18
3363,John Tanner,19901991,QUE,L,6,4,1,3,1,--,133,117,16,0.88,4.21,228:08,0,0,0,0,2,1971,ON,CAN,3,N,19
3349,John Tanner,19911992,QUE,L,14,13,1,7,4,--,394,348,46,0.883,3.47,796:14,1,0,0,0,4,1971,ON,CAN,3,N,20
3197,John Vanbiesbrouck,19811982,NYR,L,1,1,1,0,0,--,30,29,1,0.967,1.0,60:00,0,0,0,0,0,1963,MI,USA,4,N,18
3089,John Vanbiesbrouck,19831984,NYR,L,3,3,2,1,0,--,84,74,10,0.881,3.35,179:00,0,0,0,0,2,1963,MI,USA,4,N,20
1754,John Vanbiesbrouck,19841985,NYR,L,42,38,12,24,3,--,"1,359","1,194",165,0.879,4.21,2353:44,1,0,5,5,17,1963,MI,USA,4,N,21
325,John Vanbiesbrouck,19851986,NYR,L,61,57,31,21,5,--,"1,623","1,439",184,0.887,3.33,3320:17,3,0,3,3,16,1963,MI,USA,4,N,22
1172,John Vanbiesbrouck,19861987,NYR,L,50,44,18,20,5,--,"1,364","1,203",161,0.882,3.64,2650:35,0,0,1,1,18,1963,MI,USA,4,N,23
507,John Vanbiesbrouck,19871988,NYR,L,56,56,27,22,7,--,"1,697","1,510",187,0.89,3.38,3315:00,2,0,5,5,46,1963,MI,USA,4,N,24
452,John Vanbiesbrouck,19881989,NYR,L,56,54,28,21,4,--,"1,662","1,465",197,0.881,3.69,3207:26,0,0,2,2,30,1963,MI,USA,4,N,25
1076,John Vanbiesbrouck,19891990,NYR,L,47,44,19,19,7,--,"1,361","1,207",154,0.887,3.38,2734:16,1,0,2,2,24,1963,MI,USA,4,N,26
1435,John Vanbiesbrouck,19901991,NYR,L,40,38,15,18,6,--,"1,154","1,028",126,0.891,3.35,2256:58,3,0,3,3,18,1963,MI,USA,4,N,27
483,John Vanbiesbrouck,19911992,NYR,L,45,41,27,13,3,--,"1,331","1,211",120,0.91,2.85,2525:47,2,0,3,3,23,1963,MI,USA,4,N,28
972,John Vanbiesbrouck,19921993,NYR,L,48,44,20,18,7,--,"1,525","1,373",152,0.9,3.31,2757:08,4,0,1,1,18,1963,MI,USA,4,N,29
850,John Vanbiesbrouck,19931994,FLA,L,57,57,21,25,11,--,"1,912","1,767",145,0.924,2.53,3439:43,1,0,0,0,38,1963,MI,USA,4,N,30
1473,John Vanbiesbrouck,19941995,FLA,L,37,35,14,15,4,--,"1,000",914,86,0.914,2.47,2086:51,4,0,1,1,6,1963,MI,USA,4,N,31
557,John Vanbiesbrouck,19951996,FLA,L,57,54,26,20,7,--,"1,473","1,331",142,0.904,2.68,3177:45,2,0,2,2,10,1963,MI,USA,4,N,32
465,John Vanbiesbrouck,19961997,FLA,L,57,56,27,19,10,--,"1,582","1,454",128,0.919,2.29,3347:05,2,0,2,2,8,1963,MI,USA,4,N,33
1153,John Vanbiesbrouck,19971998,FLA,L,60,58,18,29,11,--,"1,638","1,473",165,0.899,2.87,3451:01,4,0,3,3,6,1963,MI,USA,4,N,34
495,John Vanbiesbrouck,19981999,PHI,L,62,61,27,18,15,--,"1,380","1,245",135,0.902,2.18,3711:57,6,0,1,1,12,1963,MI,USA,4,N,35
602,John Vanbiesbrouck,19992000,PHI,L,50,49,25,15,9,--,"1,143","1,035",108,0.906,2.2,2949:42,3,0,1,1,6,1963,MI,USA,4,N,36
1504,John Vanbiesbrouck,20002001,"NYI,NJD",L,48,46,14,25,5,--,"1,270","1,144",126,0.901,2.87,2629:56,2,0,0,0,8,1963,MI,USA,4,N,37
3006,John Vanbiesbrouck,20012002,NJD,L,5,5,2,3,0,--,117,107,10,0.915,2.0,300:25,0,0,0,0,4,1963,MI,USA,4,N,38
419,Johnny Bower,19531954,NYR,L,70,70,29,31,10,--,--,--,178,--,2.54,4200:00,5,0,0,0,0,1924,SK,CAN,--,Y,29
3182,Johnny Bower,19541955,NYR,L,5,5,2,2,1,--,--,--,13,--,2.6,300:00,0,0,0,0,0,1924,SK,CAN,--,Y,30
