,Player,Season,Team,S/C,GP,GS,W,L,T,OT,SA,Svs,GA,Sv%,GAA,TOI,SO,G,A,P,PIM,Birth Year,S/P,Nationality,Draft Round,HOF,Age
1768,Aaron Dell,20162017,SJS,L,20,17,11,6,--,1,533,496,37,0.931,2.0,1110:33,1,0,0,0,0,1989,AB,CAN,--,N,27
1390,Aaron Dell,20172018,SJS,L,29,22,15,5,--,4,775,708,67,0.914,2.64,1522:05,2,0,1,1,0,1989,AB,CAN,--,N,28
1949,Aaron Dell,20182019,SJS,L,25,20,10,8,--,4,613,543,70,0.886,3.17,1323:17,2,0,0,0,0,1989,AB,CAN,--,N,29
1698,Aaron Dell,20192020,SJS,L,33,30,12,15,--,3,986,894,92,0.907,3.01,1834:14,0,0,0,0,0,1989,AB,CAN,--,N,30
3424,Aaron Dell,20202021,NJD,L,7,5,1,5,--,0,154,132,22,0.857,4.14,319:10,0,0,0,0,0,1989,AB,CAN,--,N,31
3085,Adam Berkhoel,20052006,ATL,L,9,7,2,4,--,1,255,225,30,0.882,3.8,473:24,0,0,0,0,0,1981,MN,USA,8,N,24
4023,Adam Hauser,20052006,LAK,L,1,0,0,0,--,0,24,18,6,0.75,7.08,50:49,0,0,0,0,0,1980,MN,USA,3,N,25
3359,Adam Munro,20032004,CHI,L,7,7,1,5,1,--,217,191,26,0.88,3.66,425:41,0,0,0,0,2,1982,ON,CAN,1,N,21
2870,Adam Munro,20052006,CHI,L,10,10,3,5,--,2,234,209,25,0.893,3.0,500:42,1,0,1,1,0,1982,ON,CAN,1,N,23
3252,Adam Werner,20192020,COL,L,2,1,1,1,--,0,58,53,5,0.914,3.42,87:50,0,0,0,0,0,1997,--,SWE,5,N,22
3553,Adam Wilcox,20172018,BUF,L,1,0,0,1,--,0,14,14,0,1,0.0,38:39,0,0,0,0,0,1992,MN,USA,6,N,25
3323,Adin Hill,20172018,ARI,L,4,4,1,3,--,0,129,115,14,0.891,3.49,240:45,0,0,0,0,0,1996,BC,CAN,3,N,21
2304,Adin Hill,20182019,ARI,L,13,11,7,5,--,0,322,290,32,0.901,2.76,696:21,1,0,0,0,0,1996,BC,CAN,3,N,22
3000,Adin Hill,20192020,ARI,L,13,9,2,4,--,3,343,315,28,0.918,2.62,640:46,0,0,0,0,2,1996,BC,CAN,3,N,23
2008,Adin Hill,20202021,ARI,L,19,17,9,9,--,1,530,484,46,0.913,2.74,1005:54,2,0,0,0,0,1996,BC,CAN,3,N,24
4007,Al Jensen,19801981,DET,L,1,1,0,1,0,--,30,23,7,0.767,7.0,60:00,0,0,0,0,0,1958,ON,CAN,2,N,22
2211,Al Jensen,19811982,WSH,L,26,19,8,8,4,--,705,624,81,0.885,3.82,1270:54,0,0,2,2,6,1958,ON,CAN,2,N,23
832,Al Jensen,19821983,WSH,L,40,39,22,12,6,--,"1,144","1,009",135,0.882,3.44,2353:46,1,0,0,0,6,1958,ON,CAN,2,N,24
625,Al Jensen,19831984,WSH,L,43,42,25,13,3,--,981,864,117,0.881,2.92,2408:10,4,0,0,0,22,1958,ON,CAN,2,N,25
1951,Al Jensen,19841985,WSH,L,14,13,10,3,1,--,294,260,34,0.884,2.54,802:01,1,0,0,0,6,1958,ON,CAN,2,N,26
445,Al Jensen,19851986,WSH,L,44,39,28,9,3,--,"1,165","1,036",129,0.889,3.19,2430:00,2,0,1,1,4,1958,ON,CAN,2,N,27
3164,Al Jensen,19861987,"WSH,LAK",L,11,10,2,7,1,--,336,282,54,0.839,5.19,624:52,0,0,1,1,0,1958,ON,CAN,2,N,28
3403,Al Millar,19571958,BOS,L,6,6,1,4,1,--,183,158,25,0.863,4.17,360:00,0,0,0,0,0,1929,MB,CAN,--,N,28
2801,Al Montoya,20082009,PHX,L,5,4,3,1,--,0,120,111,9,0.925,2.08,259:28,1,0,0,0,0,1985,IL,USA,1,N,23
1997,Al Montoya,20102011,NYI,L,20,18,9,5,--,5,585,539,46,0.921,2.39,1153:47,1,0,1,1,2,1985,IL,USA,1,N,25
2066,Al Montoya,20112012,NYI,L,31,26,9,11,--,5,832,743,89,0.893,3.11,1719:42,0,0,0,0,2,1985,IL,USA,1,N,26
2852,Al Montoya,20122013,WPG,L,7,5,3,1,--,0,168,151,17,0.899,2.9,351:21,1,0,0,0,0,1985,IL,USA,1,N,27
1554,Al Montoya,20132014,WPG,L,28,22,13,8,--,3,737,678,59,0.92,2.3,1540:54,2,0,0,0,2,1985,IL,USA,1,N,28
2426,Al Montoya,20142015,FLA,L,20,13,6,7,--,2,453,404,49,0.892,3.01,976:56,0,0,0,0,2,1985,IL,USA,1,N,29
1668,Al Montoya,20152016,FLA,L,25,22,12,7,--,3,608,559,49,0.919,2.18,1351:14,0,0,0,0,2,1985,IL,USA,1,N,30
2143,Al Montoya,20162017,MTL,L,19,18,8,6,--,4,569,519,50,0.912,2.67,1124:53,2,0,2,2,2,1985,IL,USA,1,N,31
2694,Al Montoya,20172018,"MTL,EDM",L,13,8,4,3,--,2,346,309,37,0.893,3.21,691:44,0,0,2,2,0,1985,IL,USA,1,N,32
578,Al Rollins,19501951,TOR,L,40,40,26,6,7,--,--,--,70,--,1.77,2366:50,5,0,0,0,0,1926,SK,CAN,--,N,24
420,Al Rollins,19511952,TOR,L,70,69,29,24,16,--,--,--,152,--,2.19,4170:00,5,0,0,0,4,1926,SK,CAN,--,N,25
517,Al Rollins,19521953,CHI,L,70,70,27,28,15,--,--,--,175,--,2.5,4200:00,6,0,0,0,0,1926,SK,CAN,--,N,26
1766,Al Rollins,19531954,CHI,L,66,66,12,47,7,--,--,--,212,--,3.21,3957:45,5,0,0,0,20,1926,SK,CAN,--,N,27
2126,Al Rollins,19541955,CHI,L,44,44,9,27,8,--,--,--,150,--,3.41,2640:00,0,0,0,0,0,1926,SK,CAN,--,N,28
1198,Al Rollins,19551956,CHI,L,58,58,17,30,11,--,"2,065","1,894",171,0.917,2.95,3478:30,3,0,0,0,10,1926,SK,CAN,--,N,29
1323,Al Rollins,19561957,CHI,L,70,70,16,39,15,--,"2,212","1,992",224,0.901,3.2,4198:00,3,0,1,1,9,1926,SK,CAN,--,N,30
2808,Al Rollins,19591960,NYR,L,10,10,3,4,3,--,380,349,31,0.918,3.1,600:00,0,0,0,0,0,1926,SK,CAN,--,N,33
3218,Al Smith,19651966,TOR,L,2,0,1,0,0,--,31,29,2,0.935,1.92,62:28,0,0,0,0,0,1945,ON,CAN,--,N,20
3803,Al Smith,19661967,TOR,L,1,1,0,1,0,--,35,30,5,0.857,5.0,60:00,0,0,0,0,0,1945,ON,CAN,--,N,21
3268,Al Smith,19681969,TOR,L,7,5,1,2,1,--,173,157,16,0.908,2.9,330:48,0,0,0,0,7,1945,ON,CAN,--,N,23
1422,Al Smith,19691970,PIT,L,46,43,15,20,8,--,"1,283","1,154",129,0.899,3.03,2553:44,2,0,0,0,20,1945,ON,CAN,--,N,24
2051,Al Smith,19701971,PIT,L,45,40,9,22,9,--,"1,256","1,128",128,0.898,3.11,2470:45,2,0,0,0,26,1945,ON,CAN,--,N,25
1163,Al Smith,19711972,DET,L,43,40,18,20,4,--,"1,242","1,108",134,0.892,3.22,2495:00,4,0,4,4,23,1945,ON,CAN,--,N,26
2083,Al Smith,19751976,BUF,L,14,14,9,3,2,--,360,317,43,0.881,3.07,839:26,0,0,0,0,0,1945,ON,CAN,--,N,30
3875,Al Smith,19761977,BUF,L,7,4,0,3,0,--,116,97,19,0.836,4.33,263:32,0,0,0,0,0,1945,ON,CAN,--,N,31
1848,Al Smith,19791980,HFD,L,30,29,11,10,8,--,862,755,107,0.876,3.67,1748:26,2,0,1,1,10,1945,ON,CAN,--,N,34
2125,Al Smith,19801981,CLR,L,36,33,9,18,4,--,923,772,151,0.836,4.76,1901:49,0,0,2,2,36,1945,ON,CAN,--,N,35
1868,Alain Chevrier,19851986,NJD,L,37,32,11,18,2,--,951,808,143,0.85,4.62,1857:22,0,0,3,3,0,1961,ON,CAN,--,N,24
683,Alain Chevrier,19861987,NJD,L,58,54,24,26,2,--,"1,790","1,563",227,0.873,4.32,3149:15,0,0,0,0,17,1961,ON,CAN,--,N,25
1186,Alain Chevrier,19871988,NJD,L,45,38,18,19,3,--,"1,113",965,148,0.867,3.78,2350:59,1,0,1,1,8,1961,ON,CAN,--,N,26
926,Alain Chevrier,19881989,"WIN,CHI",L,49,45,21,19,4,--,"1,290","1,120",170,0.868,3.83,2665:30,1,0,4,4,2,1961,ON,CAN,--,N,27
1270,Alain Chevrier,19891990,"CHI,PIT",L,42,38,17,16,3,--,986,840,146,0.852,4.25,2059:38,0,0,3,3,8,1961,ON,CAN,--,N,28
3962,Alain Chevrier,19901991,DET,L,3,2,0,2,0,--,55,44,11,0.8,6.14,107:34,0,0,0,0,0,1961,ON,CAN,--,N,29
3636,Alain Raymond,19871988,WSH,L,1,0,0,1,0,--,20,18,2,0.9,3.06,39:11,0,0,0,0,0,1965,QC,CAN,11,N,22
3264,Alex Auld,20012002,VAN,L,1,1,1,0,0,--,22,20,2,0.909,2.0,59:55,0,0,1,1,0,1981,AB,CAN,2,N,20
2793,Alex Auld,20022003,VAN,L,7,5,3,3,0,--,165,155,10,0.939,1.57,382:23,1,0,0,0,0,1981,AB,CAN,2,N,21
2987,Alex Auld,20032004,VAN,L,6,5,2,2,2,--,168,156,12,0.929,2.06,348:53,0,0,0,0,0,1981,AB,CAN,2,N,22
243,Alex Auld,20052006,VAN,L,67,64,33,26,--,6,"1,938","1,749",189,0.902,2.94,3858:55,0,0,2,2,4,1981,AB,CAN,2,N,24
2327,Alex Auld,20062007,FLA,L,27,25,7,13,--,5,729,647,82,0.888,3.35,1470:31,1,0,1,1,2,1981,AB,CAN,2,N,25
1697,Alex Auld,20072008,"PHX,BOS",L,32,29,12,13,--,5,827,750,77,0.907,2.68,1722:17,3,0,0,0,0,1981,AB,CAN,2,N,26
1303,Alex Auld,20082009,OTT,L,43,38,16,18,--,7,"1,141","1,040",101,0.911,2.47,2449:26,1,0,0,0,2,1981,AB,CAN,2,N,27
2059,Alex Auld,20092010,"DAL,NYR",L,24,20,9,7,--,3,610,546,64,0.895,2.96,1299:29,0,0,2,2,2,1981,AB,CAN,2,N,28
2376,Alex Auld,20102011,MTL,L,16,12,6,2,--,2,383,350,33,0.914,2.64,748:35,0,0,1,1,2,1981,AB,CAN,2,N,29
3077,Alex Auld,20112012,OTT,L,14,8,2,4,--,2,310,274,36,0.884,3.35,645:02,0,0,0,0,0,1981,AB,CAN,2,N,30
2672,Alex Lyon,20172018,PHI,L,11,7,4,2,--,1,232,210,22,0.905,2.75,479:48,0,0,0,0,0,1992,MN,USA,--,N,25
3952,Alex Lyon,20182019,PHI,L,2,1,0,1,--,0,31,25,6,0.806,5.08,70:49,0,0,0,0,0,1992,MN,USA,--,N,26
3325,Alex Lyon,20192020,PHI,L,3,2,1,1,--,0,73,65,8,0.89,3.55,135:19,0,0,0,0,0,1992,MN,USA,--,N,27
3313,Alex Lyon,20202021,PHI,L,6,5,1,3,--,1,169,151,18,0.893,3.33,324:09,0,0,0,0,0,1992,MN,USA,--,N,28
3559,Alex Nedeljkovic,20162017,CAR,L,1,0,0,0,--,0,17,17,0,1,0.0,29:57,0,0,0,0,2,1996,OH,USA,2,N,20
3234,Alex Nedeljkovic,20182019,CAR,L,1,1,1,0,--,0,26,24,2,0.923,2.0,60:00,0,0,0,0,0,1996,OH,USA,2,N,22
3341,Alex Nedeljkovic,20192020,CAR,L,4,3,1,2,--,1,97,86,11,0.887,3.05,216:19,0,0,0,0,0,1996,OH,USA,2,N,23
1372,Alex Nedeljkovic,20202021,CAR,L,23,23,15,5,--,3,648,604,44,0.932,1.9,1392:02,3,0,1,1,2,1996,OH,USA,2,N,24
3193,Alex Stalock,20102011,SJS,L,1,0,1,0,--,0,9,9,0,1,0.0,29:47,0,0,0,0,0,1987,MN,USA,4,N,23
3844,Alex Stalock,20122013,SJS,L,2,0,0,0,--,1,13,11,2,0.846,2.87,41:49,0,0,0,0,0,1987,MN,USA,4,N,25
1660,Alex Stalock,20132014,SJS,L,24,18,12,5,--,2,571,532,39,0.932,1.87,1251:43,2,0,0,0,2,1987,MN,USA,4,N,26
2168,Alex Stalock,20142015,SJS,L,22,19,8,9,--,2,553,499,54,0.902,2.62,1236:30,2,0,0,0,2,1987,MN,USA,4,N,27
2890,Alex Stalock,20152016,SJS,L,13,9,3,5,--,2,285,252,33,0.884,2.94,674:08,0,0,1,1,0,1987,MN,USA,4,N,28
3213,Alex Stalock,20162017,MIN,L,2,2,1,1,--,0,54,51,3,0.944,1.51,118:55,0,0,0,0,0,1987,MN,USA,4,N,29
1888,Alex Stalock,20172018,MIN,L,28,23,10,10,--,4,787,716,71,0.91,2.85,1495:16,1,0,0,0,0,1987,MN,USA,4,N,30
2410,Alex Stalock,20182019,MIN,L,21,16,6,8,--,3,525,472,53,0.899,2.99,1065:06,0,0,2,2,4,1987,MN,USA,4,N,31
946,Alex Stalock,20192020,MIN,L,38,36,20,11,--,4,"1,082",985,97,0.91,2.67,2177:21,4,0,1,1,4,1987,MN,USA,4,N,32
2643,Alexandar Georgiev,20172018,NYR,L,10,9,4,4,--,1,331,304,27,0.918,3.15,514:46,0,0,0,0,0,1996,--,RUS,--,N,21
1474,Alexandar Georgiev,20182019,NYR,L,33,30,14,13,--,4,"1,057",966,91,0.914,2.91,1874:10,2,0,2,2,2,1996,--,RUS,--,N,22
1214,Alexandar Georgiev,20192020,NYR,L,34,32,17,14,--,2,"1,063",967,96,0.91,3.04,1891:57,2,0,1,1,0,1996,--,RUS,--,N,23
2159,Alexandar Georgiev,20202021,NYR,L,19,18,8,7,--,2,465,421,44,0.905,2.71,973:56,2,0,1,1,0,1996,--,RUS,--,N,24
3594,Alexander Pechurskiy,20092010,PIT,L,1,0,0,0,--,0,13,12,1,0.923,1.69,35:31,0,0,0,0,0,1990,--,RUS,5,N,19
3830,Alexander Salak,20092010,FLA,L,2,0,0,1,--,0,40,34,6,0.85,5.41,66:35,0,0,0,0,0,1987,--,CZE,--,N,22
3770,Alexei Melnichuk,20202021,SJS,L,3,2,0,1,--,1,81,70,11,0.864,5.05,130:35,0,0,0,0,0,1998,--,RUS,--,N,22
3937,Alfie Michaud,19992000,VAN,L,2,0,0,1,0,--,27,22,5,0.815,4.32,69:23,0,0,0,0,0,1976,MB,CAN,--,N,23
1841,Allan Bester,19831984,TOR,L,32,31,11,16,4,--,"1,143","1,009",134,0.883,4.36,1842:33,0,0,0,0,6,1964,ON,CAN,3,N,19
2921,Allan Bester,19841985,TOR,L,15,14,3,9,1,--,430,376,54,0.874,4.25,762:12,1,0,1,1,4,1964,ON,CAN,3,N,20
4017,Allan Bester,19851986,TOR,L,1,0,0,0,0,--,4,3,1,0.75,3.14,19:07,0,0,0,0,0,1964,ON,CAN,3,N,21
1941,Allan Bester,19861987,TOR,L,36,29,10,14,3,--,988,878,110,0.889,3.68,1795:55,2,0,0,0,8,1964,ON,CAN,3,N,22
2213,Allan Bester,19871988,TOR,L,30,24,8,12,5,--,878,776,102,0.884,3.81,1607:06,2,0,3,3,6,1964,ON,CAN,3,N,23
1245,Allan Bester,19881989,TOR,L,43,42,17,20,3,--,"1,415","1,259",156,0.89,3.8,2460:21,2,0,2,2,2,1964,ON,CAN,3,N,24
1008,Allan Bester,19891990,TOR,L,42,39,20,16,0,--,"1,292","1,127",165,0.872,4.49,2205:57,0,0,2,2,4,1964,ON,CAN,3,N,25
3772,Allan Bester,19901991,"TOR,DET",L,9,8,0,7,0,--,228,197,31,0.864,4.37,425:20,0,0,0,0,0,1964,ON,CAN,3,N,26
3991,Allan Bester,19911992,DET,L,1,0,0,0,0,--,9,7,2,0.778,3.93,30:33,0,0,0,0,0,1964,ON,CAN,3,N,27
2680,Allan Bester,19951996,DAL,L,10,10,4,5,1,--,297,267,30,0.899,2.99,601:22,0,0,0,0,2,1964,ON,CAN,3,N,31
2807,Allen York,20112012,CBJ,L,11,5,3,2,--,0,199,183,16,0.92,2.3,416:42,0,0,0,0,0,1989,AB,CAN,6,N,22
1779,Anders Lindback,20102011,NSH,L,22,18,11,5,--,2,576,527,49,0.915,2.6,1131:03,2,0,0,0,0,1988,--,SWE,7,N,22
2506,Anders Lindback,20112012,NSH,L,16,10,5,8,--,0,364,332,32,0.912,2.42,792:25,0,0,1,1,0,1988,--,SWE,7,N,23
1913,Anders Lindback,20122013,TBL,L,24,21,10,10,--,1,642,579,63,0.902,2.9,1304:11,0,0,1,1,0,1988,--,SWE,7,N,24
2199,Anders Lindback,20132014,TBL,L,23,18,8,12,--,2,580,517,63,0.891,2.9,1302:19,1,0,0,0,2,1988,--,SWE,7,N,25
2386,Anders Lindback,20142015,"DAL,BUF",L,26,22,6,16,--,2,798,725,73,0.909,3.11,1407:58,0,0,1,1,4,1988,--,SWE,7,N,26
2547,Anders Lindback,20152016,ARI,L,19,13,5,7,--,1,443,396,47,0.894,3.11,906:08,0,0,1,1,0,1988,--,SWE,7,N,27
3261,Anders Nilsson,20112012,NYI,L,4,3,1,2,--,0,112,102,10,0.911,2.75,217:48,1,0,0,0,0,1990,--,SWE,3,N,21
2188,Anders Nilsson,20132014,NYI,L,19,17,8,7,--,2,548,491,57,0.896,3.11,1101:10,0,0,0,0,2,1990,--,SWE,3,N,23
1915,Anders Nilsson,20152016,"EDM,STL",L,29,24,10,13,--,2,789,711,78,0.901,3.12,1500:35,0,0,1,1,4,1990,--,SWE,3,N,25
1876,Anders Nilsson,20162017,BUF,L,26,23,10,10,--,4,857,791,66,0.923,2.67,1484:15,1,0,0,0,0,1990,--,SWE,3,N,26
2302,Anders Nilsson,20172018,VAN,L,27,24,7,14,--,4,850,766,84,0.901,3.44,1463:41,2,0,1,1,0,1990,--,SWE,3,N,27
1487,Anders Nilsson,20182019,"VAN,OTT",L,36,34,14,19,--,1,"1,098",997,101,0.908,2.97,2039:48,2,0,1,1,0,1990,--,SWE,3,N,28
2017,Anders Nilsson,20192020,OTT,L,20,19,9,9,--,2,628,570,58,0.908,3.18,1093:16,0,0,0,0,0,1990,--,SWE,3,N,29
3501,Andre Binette,19541955,MTL,L,1,1,1,0,0,--,--,--,4,--,4.0,60:00,0,0,0,0,0,1933,QC,CAN,--,N,21
2840,Andre Gill,19671968,BOS,L,5,5,3,1,0,--,134,121,13,0.903,2.89,270:21,1,0,0,0,0,1941,QC,CAN,--,N,26
4059,Andre Racicot,19891990,MTL,L,1,1,0,0,0,--,6,3,3,0.5,14.21,12:40,0,0,0,0,0,1969,QC,CAN,4,N,20
2320,Andre Racicot,19901991,MTL,L,21,16,7,9,2,--,479,427,52,0.891,3.2,975:14,1,0,1,1,0,1969,QC,CAN,4,N,21
3653,Andre Racicot,19911992,MTL,L,9,6,0,3,3,--,219,196,23,0.895,3.16,436:16,0,0,0,0,0,1969,QC,CAN,4,N,22
1259,Andre Racicot,19921993,MTL,L,26,21,17,5,1,--,682,601,81,0.881,3.39,1433:12,1,0,1,1,6,1969,QC,CAN,4,N,23
3155,Andre Racicot,19931994,MTL,L,11,9,2,6,2,--,246,209,37,0.85,4.44,499:31,0,0,0,0,0,1969,QC,CAN,4,N,24
3742,Andrei Trefilov,19921993,CGY,L,1,1,0,0,1,--,39,34,5,0.872,4.62,64:53,0,0,0,0,2,1969,--,RUS,12,N,23
2811,Andrei Trefilov,19931994,CGY,L,11,10,3,4,2,--,305,279,26,0.915,2.51,622:34,2,0,0,0,4,1969,--,RUS,12,N,24
3723,Andrei Trefilov,19941995,CGY,L,6,4,0,3,0,--,130,114,16,0.877,4.07,235:40,0,0,0,0,0,1969,--,RUS,12,N,25
2164,Andrei Trefilov,19951996,BUF,L,22,18,8,8,1,--,660,596,64,0.903,3.51,1093:58,0,0,0,0,4,1969,--,RUS,12,N,26
3648,Andrei Trefilov,19961997,BUF,L,3,3,0,2,0,--,98,88,10,0.898,3.78,158:39,0,0,0,0,0,1969,--,RUS,12,N,27
3350,Andrei Trefilov,19971998,CHI,L,6,4,1,4,0,--,145,128,17,0.883,3.41,299:01,0,0,0,0,0,1969,--,RUS,12,N,28
3815,Andrei Trefilov,19981999,"CHI,CGY",L,5,5,0,4,0,--,104,89,15,0.856,4.83,186:24,0,0,0,0,0,1969,--,RUS,12,N,29
2267,Andrei Vasilevskiy,20142015,TBL,L,16,13,7,5,--,1,415,381,34,0.918,2.36,864:07,1,0,0,0,0,1994,--,RUS,1,N,20
1790,Andrei Vasilevskiy,20152016,TBL,L,24,21,11,10,--,0,646,588,58,0.91,2.76,1258:38,1,0,0,0,0,1994,--,RUS,1,N,21
699,Andrei Vasilevskiy,20162017,TBL,L,50,47,23,17,--,7,"1,480","1,357",123,0.917,2.61,2831:16,2,0,2,2,2,1994,--,RUS,1,N,22
11,Andrei Vasilevskiy,20172018,TBL,L,65,64,44,17,--,3,"2,075","1,908",167,0.92,2.62,3825:11,8,0,2,2,14,1994,--,RUS,1,N,23
62,Andrei Vasilevskiy,20182019,TBL,L,53,53,39,10,--,4,"1,713","1,585",128,0.925,2.4,3203:45,6,0,3,3,6,1994,--,RUS,1,N,24
163,Andrei Vasilevskiy,20192020,TBL,L,52,52,35,14,--,3,"1,605","1,472",133,0.917,2.56,3121:54,3,0,4,4,4,1994,--,RUS,1,N,25
289,Andrei Vasilevskiy,20202021,TBL,L,42,42,31,10,--,1,"1,237","1,144",93,0.925,2.21,2523:37,5,0,4,4,0,1994,--,RUS,1,N,26
3557,Andrew Hammond,20132014,OTT,L,1,0,0,0,--,0,11,11,0,1,0.0,34:31,0,0,0,0,0,1988,BC,CAN,--,N,25
929,Andrew Hammond,20142015,OTT,L,24,23,20,1,--,2,707,665,42,0.941,1.79,1410:59,3,0,1,1,0,1988,BC,CAN,--,N,26
2274,Andrew Hammond,20152016,OTT,L,24,21,7,11,--,4,712,651,61,0.914,2.65,1382:19,1,0,0,0,2,1988,BC,CAN,--,N,27
3873,Andrew Hammond,20162017,OTT,L,6,4,0,2,--,0,86,72,14,0.837,4.08,205:39,0,0,0,0,0,1988,BC,CAN,--,N,28
3578,Andrew Hammond,20172018,COL,L,1,1,0,1,--,0,33,31,2,0.939,2.06,58:22,0,0,0,0,0,1988,BC,CAN,--,N,29
2701,Andrew Raycroft,20002001,BOS,L,15,11,4,6,0,--,291,259,32,0.89,2.96,648:38,0,0,0,0,0,1980,ON,CAN,5,N,20
3651,Andrew Raycroft,20012002,BOS,L,1,1,0,0,1,--,29,26,3,0.897,2.77,65:00,0,0,0,0,0,1980,ON,CAN,5,N,21
3002,Andrew Raycroft,20022003,BOS,L,5,5,2,3,0,--,146,134,12,0.918,2.4,300:13,0,0,0,0,0,1980,ON,CAN,5,N,22
381,Andrew Raycroft,20032004,BOS,L,57,55,29,18,9,--,"1,586","1,469",117,0.926,2.05,3420:04,3,0,2,2,0,1980,ON,CAN,5,N,23
2227,Andrew Raycroft,20052006,BOS,L,30,28,8,19,--,2,824,724,100,0.879,3.71,1618:33,0,0,0,0,0,1980,ON,CAN,5,N,25
121,Andrew Raycroft,20062007,TOR,L,72,71,37,25,--,9,"1,931","1,726",205,0.894,2.99,4108:18,2,0,1,1,8,1980,ON,CAN,5,N,26
3106,Andrew Raycroft,20072008,TOR,L,19,16,2,9,--,5,509,446,63,0.876,3.92,964:42,1,0,0,0,0,1980,ON,CAN,5,N,27
1734,Andrew Raycroft,20082009,COL,L,31,27,12,16,--,0,836,746,90,0.892,3.14,1722:26,0,0,0,0,2,1980,ON,CAN,5,N,28
2012,Andrew Raycroft,20092010,VAN,L,21,14,9,5,--,1,438,399,39,0.911,2.42,967:05,1,0,0,0,4,1980,ON,CAN,5,N,29
2149,Andrew Raycroft,20102011,DAL,L,19,14,8,5,--,0,446,406,40,0.91,2.83,847:10,2,0,0,0,0,1980,ON,CAN,5,N,30
3039,Andrew Raycroft,20112012,DAL,L,10,8,2,8,--,0,303,272,31,0.898,3.51,529:23,0,0,0,0,0,1980,ON,CAN,5,N,31
3606,Andrey Makarov,20142015,BUF,L,1,1,0,1,--,0,36,33,3,0.917,3.0,60:00,0,0,0,0,0,1993,--,RUS,--,N,21
2721,Andy Brown,19711972,DET,L,10,10,4,5,1,--,320,283,37,0.884,3.98,558:07,0,0,1,1,0,1944,ON,CAN,--,N,27
2594,Andy Brown,19721973,"DET,PIT",L,16,14,5,5,4,--,473,412,61,0.871,4.27,857:28,0,0,0,0,4,1944,ON,CAN,--,N,28
1635,Andy Brown,19731974,PIT,L,36,33,13,16,4,--,969,854,115,0.881,3.54,1950:42,1,0,0,0,60,1944,ON,CAN,--,N,29
2874,Andy Chiodo,20032004,PIT,L,8,8,3,4,1,--,260,232,28,0.892,3.46,485:37,0,0,0,0,0,1983,ON,CAN,7,N,20
2896,Andy Moog,19801981,EDM,L,7,5,3,3,0,--,170,150,20,0.882,3.82,313:46,0,0,1,1,0,1960,BC,CAN,7,N,20
2963,Andy Moog,19811982,EDM,L,8,6,3,5,0,--,201,169,32,0.841,4.82,398:02,0,0,1,1,2,1960,BC,CAN,7,N,21
249,Andy Moog,19821983,EDM,L,50,47,33,8,7,--,"1,530","1,363",167,0.891,3.54,2829:32,1,0,4,4,16,1960,BC,CAN,7,N,22
511,Andy Moog,19831984,EDM,L,38,36,27,8,1,--,"1,177","1,038",139,0.882,3.78,2207:22,1,0,1,1,4,1960,BC,CAN,7,N,23
816,Andy Moog,19841985,EDM,L,39,34,22,9,3,--,"1,053",942,111,0.895,3.3,2016:46,1,0,0,0,8,1960,BC,CAN,7,N,24
508,Andy Moog,19851986,EDM,L,47,43,27,9,7,--,"1,480","1,316",164,0.889,3.7,2657:34,1,0,2,2,8,1960,BC,CAN,7,N,25
451,Andy Moog,19861987,EDM,L,46,41,28,11,3,--,"1,215","1,071",144,0.881,3.52,2457:20,0,0,2,2,8,1960,BC,CAN,7,N,26
2670,Andy Moog,19871988,BOS,L,6,6,4,2,0,--,180,163,17,0.906,2.84,358:57,1,0,0,0,0,1960,BC,CAN,7,N,27
1181,Andy Moog,19881989,BOS,L,41,40,18,14,8,--,"1,079",946,133,0.877,3.22,2481:57,1,0,1,1,6,1960,BC,CAN,7,N,28
672,Andy Moog,19891990,BOS,L,46,40,24,10,7,--,"1,145","1,023",122,0.893,2.89,2535:50,3,0,3,3,18,1960,BC,CAN,7,N,29
615,Andy Moog,19901991,BOS,L,51,47,25,13,9,--,"1,307","1,171",136,0.896,2.87,2844:04,4,0,2,2,20,1960,BC,CAN,7,N,30
447,Andy Moog,19911992,BOS,L,62,59,28,22,9,--,"1,727","1,531",196,0.887,3.23,3640:26,1,0,3,3,52,1960,BC,CAN,7,N,31
122,Andy Moog,19921993,BOS,L,55,55,37,14,3,--,"1,357","1,189",168,0.876,3.16,3193:49,3,0,1,1,14,1960,BC,CAN,7,N,32
671,Andy Moog,19931994,DAL,L,55,51,24,20,7,--,"1,604","1,434",170,0.894,3.27,3121:26,2,0,1,1,16,1960,BC,CAN,7,N,33
1881,Andy Moog,19941995,DAL,L,31,29,10,12,7,--,846,774,72,0.915,2.44,1770:14,2,0,1,1,14,1960,BC,CAN,7,N,34
1591,Andy Moog,19951996,DAL,L,41,39,13,19,7,--,"1,106",995,111,0.9,2.99,2227:58,1,0,0,0,28,1960,BC,CAN,7,N,35
433,Andy Moog,19961997,DAL,L,48,46,28,13,5,--,"1,121","1,023",98,0.913,2.15,2738:28,3,0,1,1,12,1960,BC,CAN,7,N,36
1145,Andy Moog,19971998,MTL,L,42,40,18,17,5,--,"1,024",927,97,0.905,2.49,2337:15,3,0,0,0,4,1960,BC,CAN,7,N,37
2785,Antero Niittymaki,20032004,PHI,L,3,3,3,0,0,--,77,74,3,0.961,1.0,179:55,0,0,0,0,0,1980,--,FIN,6,N,23
