,Player,Country,Draft Position,1st Season,HOF,GP,W,Career Save %,GAA
576,Louis Domingue,CAN,138.0,20142015,N,140,58,0.8978571428571429,3.111428571428572
577,Reinhard Divis,AUT,261.0,20012002,N,28,6,0.92775,2.04
579,Michel Dion,CAN,,19791980,N,227,60,0.866,4.4816666666666665
580,Rick DiPietro,USA,1.0,20002001,N,318,130,0.8920909090909092,3.1481818181818184
582,Jeff Deslauriers,CAN,31.0,20082009,N,62,23,0.9016666666666668,3.1133333333333333
583,Gerry Desjardins,CAN,,19681969,N,332,123,0.8838000000000001,3.2880000000000003
585,Marc Denis,CAN,25.0,19961997,N,349,112,0.894,3.05
586,Thatcher Demko,USA,36.0,20172018,N,72,34,0.9,3.1575
587,Aaron Dell,CAN,,20162017,N,114,49,0.899,2.992
588,Collin Delia,USA,,20172018,N,24,8,0.8996666666666666,3.72
592,Casey DeSmith,USA,,20172018,N,70,32,0.9163333333333332,2.563333333333333
593,Denis DeJordy,CAN,,19621963,N,317,120,0.8638181818181819,3.9954545454545456
595,John Davidson,CAN,5.0,19731974,N,301,123,0.8926999999999999,3.282
597,Scott Darling,USA,153.0,20142015,N,126,54,0.9094,2.686
599,Yann Danis,CAN,,20052006,N,55,17,0.8721666666666668,3.31
601,Joe Daley,CAN,,19681969,N,105,34,0.89925,3.2625
602,Byron Dafoe,GBR,35.0,19921993,N,415,171,0.8935454545454546,2.7675
603,Doug Dadswell,CAN,,19861987,N,27,8,0.8594999999999999,4.595
605,Marc D'amour,CAN,,19851986,N,16,2,0.9485,1.715
610,Roger Crozier,CAN,,19631964,N,515,206,0.9042857142857142,2.957142857142857
611,Jiri Crha,CZE,,19791980,N,69,28,0.8915,3.85
612,Corey Crawford,CAN,52.0,20052006,N,488,260,0.9156923076923076,2.540769230769231
613,Jim Craig,USA,72.0,19791980,N,30,11,0.847,4.13
615,Marcel Cousineau,CAN,62.0,19961997,N,26,4,0.9225,2.0675
616,Jim Corsi,CAN,,19791980,N,26,8,0.874,3.66
617,Jared Coreau,CAN,,20162017,N,21,5,0.877,3.86
618,Pheonix Copley,USA,,20152016,N,29,16,0.8553333333333333,3.483333333333333
619,Ty Conklin,USA,,20012002,N,215,96,0.9031111111111112,2.6877777777777774
620,Mike Condon,USA,,20152016,N,129,45,0.87975,3.705
623,Jacques Cloutier,CAN,55.0,19811982,N,255,82,0.8769166666666667,3.605833333333333
624,Dan Cloutier,CAN,26.0,19971998,N,351,139,0.8960000000000001,2.9370000000000003
627,Scott Clemmensen,USA,215.0,20012002,N,191,73,0.8863333333333333,3.0258333333333334
630,Alain Chevrier,CAN,,19851986,N,234,91,0.8516666666666667,4.49
631,Tim Cheveldae,CAN,64.0,19881989,N,340,149,0.8782222222222222,3.635555555555555
632,Gerry Cheevers,CAN,,19611962,Y,418,227,0.8944615384615384,3.1030769230769235
633,Sebastien Charpentier,CAN,93.0,20002001,N,26,6,0.9056666666666668,2.8866666666666667
634,Bob Champoux,CAN,,19731974,N,17,2,0.848,5.21
635,Ed Chadwick,CAN,,19551956,N,184,57,0.9035,3.111666666666667
636,Frederic Chabot,CAN,192.0,19901991,N,32,4,0.8928,2.958
638,Roman Cechmanek,CZE,171.0,20002001,N,212,110,0.91825,2.1
640,Jon Casey,USA,,19831984,N,425,170,0.8855,3.3966666666666665
